	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
ptdcacrn[m]	1.0184347079422795	1.0148903807068193	1.0110175204513758	0.9962309361689281	0.9932631953403842	0.9896121453068276	0.9959514746839415	0.9928072732777137	0.9892633612569945
hdca[x]	0.9901993143558399	0.9883499929245065	0.9846453304880249	0.999672425093264	0.9977873422153763	0.993318147172829	1.0049736621335543	1.0029623989855139	0.9986256250571051
phyt[x]	0.9204487999929193	0.9161875412244235	0.9141592983880829	0.9437649933360445	0.9390259168722253	0.9366338944379102	0.9549840485436724	0.9499774101873616	0.9474913276378585
adrn[x]	0.915393642893441	0.9117150379976855	0.9096353359301284	0.9376063084029284	0.9331490893493647	0.930556672986227	0.9497629313851648	0.9448610634431892	0.9420690510528119
ahdt[c]	1.0331595699652238	1.0502364343371435	1.0291158146277262	1.020011867119198	1.0359474781129163	1.0165455241355403	1.0162102810134843	1.0315558772017828	1.0128935582463072
6pthp[c]	1.0041297480190672	1.0063843711204665	1.004715048872061	1.0012144302668973	1.0039527508058488	1.0019541006260109	1.0035233684317102	1.0058177667341868	1.0041396487892422
6pthp[n]	1.0165589447427508	1.0231387597096024	1.0144826878819884	1.0105498923316114	1.0168426166164093	1.0086731158142779	1.0085020878357496	1.0146084660660277	1.0066811050063842
ptrc[c]	1.0433018295854548	1.0423058797028943	1.0436968884124431	1.0332034224260114	1.0321797724243242	1.0335782313350412	1.037189978136105	1.0364567290048305	1.0378437046280422
4abutn[c]	1.0064064038873644	1.005744094290283	1.0117178282951542	1.0076352962845831	1.0072055946380336	1.01279611270838	1.0033274032460477	1.0032332201583996	1.0076064105269862
pyam5p[m]	1.0007445123071868	1.0007622101759899	1.000660278434323	1.000468731534518	1.000538337298459	1.0003832388273148	1.0002331894838643	1.0002509859107624	1.0001516948196665
pydx5p[m]	1.018058950190727	1.017997420470833	1.0179142705695439	1.000431874902081	1.0004478130075927	1.0002871177024406	1.0001985989341973	1.0001516003373252	1.00007088694122
pydx[c]	1.0143479127082755	1.0142769504658986	1.0141040093337093	1.0006324833933384	1.0006692166316655	1.000391644189192	1.0003124239636028	1.0002711735769363	1.0001117900674206
pylald[c]	1.000546025968256	1.0005831410420032	1.0004802787060953	1.0004808194420276	1.000566797735166	1.0004141035292442	1.000243061682015	1.000277991418879	1.0001763578660468
peracd[c]	1.006314914836167	1.0052834797434087	1.0051651471111918	1.0034991002439249	1.0027945986004505	1.002579752381648	1.0034919737882517	1.002621298219626	1.002703663940307
pylald[m]	1.000546025968256	1.0005831410420032	1.0004802787060953	1.0004808194420276	1.000566797735166	1.0004141035292442	1.000243061682015	1.000277991418879	1.0001763578660468
