	HEK25a51ko_1_wtHEK293_1	HEK25a51ko_1_wtHEK293_2	HEK25a51ko_1_wtHEK293_3	HEK25a51ko_2_wtHEK293_1	HEK25a51ko_2_wtHEK293_2	HEK25a51ko_2_wtHEK293_3	HEK25a51ko_3_wtHEK293_1	HEK25a51ko_3_wtHEK293_2	HEK25a51ko_3_wtHEK293_3
CE1617[e]	0.9997004159920373	1.0006749526987786	0.9997354071679191	1.0015794171220855	1.0023395563598099	1.0013121557857803	1.001194614969983	1.0016887908029792	1.0011863798506015
vldl_hs[c]	0.9956436430004878	0.9956333393029648	0.9939039548730778	0.9945064714123754	0.9882016440255126	0.9892895045388761	1.0058719273936687	0.9973255514067644	1.0018220409382825
vldl_hs[e]	0.9969265242021429	0.9972800548583786	0.9958442533901755	0.9966494980578305	0.9929269502815803	0.9932645242201051	1.003756868565817	0.9985130893233177	1.0011380665271548
HC00005[e]	1.0005638039926235	1.0055952139543494	1.0010912809971582	1.000229541119075	1.0049683978959416	0.9991319830390359	1.001224238846046	1.0051327679637303	0.9999171727643313
HC00006[e]	0.9976805929834316	0.994688571567336	1.0039652211908354	0.993041979858884	0.9956334151762032	0.9979460244341413	0.9995112203340908	1.0005282536423379	1.0054646697241971
HC00007[e]	0.997876224306296	1.0015603526965173	0.9976440302518976	1.0010189068029205	1.0080666647997885	1.0004894390804	1.0016727073594225	1.0084233256496473	1.0013801171854677
HC00008[e]	0.997876186524452	1.0015362362922708	0.9976322662377144	1.0009792989008297	1.0079652016510736	1.0004364593422028	1.0019335843508237	1.0085655438670535	1.0015481103268473
HC00009[e]	0.9956371594506535	0.9960531251502749	0.9925119069891828	1.0053215844144396	1.0074330620218315	1.0000387099975672	1.0028393724229996	1.0049980893761334	0.9979391888968543
idl_hs[e]	1.0077708833183738	1.0182689950672064	1.0120333449558885	0.9951756796654612	1.0005335195367708	0.9933187564401145	0.9973059983588316	0.9995755221737398	0.9938939061384457
ldl_hs[e]	1.014868489843991	1.0303733308541723	1.0233552868763887	0.9902277798131147	0.9980843089914492	0.9910301349713766	0.9949627602900911	0.9987372822627582	0.9936830276579358
hdl_hs[e]	1.000661857973054	1.0092929267947262	1.0048989782299051	0.9960789270212027	1.014276651506733	0.9990248418835749	0.998849592669031	1.015910392602706	1.0014879445049596
myelin_hs[c]	1.0249878838690891	1.018341921795746	1.023643676244039	0.9979540242574961	0.9910111249308936	0.9971575073178023	0.9920200474524028	0.9869636402248685	0.991597920389144
chylo_hs[c]	0.969639622227275	0.9847684774673672	0.9672786250596567	1.0038041353244807	1.0866102306259273	1.0120154306829232	1.00625691109968	1.0918257463882932	1.0166693194582141
chylo_hs[e]	0.9800629021467796	0.9902052340350403	0.9785365090095557	1.0026190364529872	1.056505945985307	1.0078435942661232	1.004135984204095	1.0597394700564966	1.010813562872151
HC00460[e]	0.9968550509110169	0.9613324211632959	0.9217282936202625	0.9917421280764188	0.9560195447521311	0.9168578449835474	1.0650741681139677	1.0312107316783785	0.9911746784841187
fna5moxam[e]	1.0031322899458799	1.0097485347198158	1.0079054298062051	0.9969232721261433	0.9997364035043516	0.9979773870099469	1.006061651733583	1.0068033206030296	1.0079536870302541
CE5643[e]	1.0044882144572538	1.012540352228665	1.0101957181911143	0.9971401278837119	1.0023198555381332	1.0007871304786085	1.0023082902317768	1.0060411173323525	1.006176556463284
CE1401[e]	0.9998002378954028	1.0005456137404776	1.0007385010737053	1.001742720364355	1.0016807609057752	1.0028318467755943	1.0044763047626617	1.004250320942709	1.0046987123040252
glucys[e]	0.9992822539351748	1.0088756800987746	1.0024552689225554	1.0063638078599364	1.016519962281919	1.0089762008774645	1.0021767485820856	1.0083602002392094	1.0048589169336344
melatn[e]	0.9891385610427793	0.9792136361135179	0.9902845358032386	0.9829703905302178	0.9747106152050135	0.9840386104932118	0.9866496011836827	0.9794056613556161	0.9874760235482427
6hoxmelatn[e]	0.9988199094046258	1.0039245133975232	1.0001270299740692	1.0039139383475255	1.0074027593351698	1.0053864292145929	1.0000809397074615	1.0024914228830577	1.00080785698394
