fullName	ko1_wt1	ko1_wt2	ko1_wt3	ko1_wt4	ko1_wt5	ko2_wt1	ko2_wt2	ko2_wt3	ko2_wt4	ko2_wt5	ko3_wt1	ko3_wt2	ko3_wt3	ko3_wt4	ko3_wt5	ko4_wt1	ko4_wt2	ko4_wt3	ko4_wt4	ko4_wt5	ko5_wt1	ko5_wt2	ko5_wt3	ko5_wt4	ko5_wt5
Oxoglutaric acid	1.5411387474727776	1.1568001167404454	0.8706894029021089	1.431155733417163	1.1547070109092414	1.6385604903248974	1.2299262279936962	0.9257292747194212	1.5216249958835955	1.2277008083014693	1.6884745279169997	1.2673923968303544	0.9539289573623813	1.5679769296047343	1.2650991861210539	1.5784992420302262	1.1848434220797013	0.8917967735082243	1.465850004829697	1.1826995748930267	1.7145373973206053	1.2869555480509192	0.9686535655367933	1.592179828297301	1.2846269399161656
Phosphoenolpyruvic acid	1.0013024806286073	1.5687810632391828	1.216395506272602	1.2977438467983418	1.035698293684742	0.972008504381187	1.5228850067597455	1.1808087962048828	1.2597772201707116	1.005398037966163	0.8011578681210525	1.2552064101392717	0.9732571819712158	1.0383452690694044	0.828678499292408	1.4642098507051202	2.2940367479689208	1.7787415062825531	1.897697609798372	1.514507027905947	1.823658020598948	2.857198722551676	2.215403900569516	2.3635624805513076	1.886302627566728
Pyruvic acid	2.516310328460491	1.7107866098406985	1.2549078611913884	3.684802722266326	1.6071516418543317	2.898103105252657	1.9703595102426736	1.4453115453171483	4.243887604346872	1.8510002964219348	2.7824515194047006	1.8917304229485892	1.387635000974287	4.074531196455921	1.7771343531094825	2.8662537641089227	1.9487058112753108	1.4294279763777435	4.197248468616494	1.8306583217727077	2.954964732982762	2.009018538198866	1.4736689791485722	4.327153916249099	1.8873174618094242
Succinic acid	1.1064145825354919	1.3437541485221869	0.947832682514908	0.9226123496751932	1.0382782720380015	0.9938938234657556	1.2070962996638241	0.851439472780382	0.8287840112284378	0.9326868769683486	0.8431776596861565	1.024049660976116	0.7223253883598695	0.703105448966478	0.791252264150184	0.9854790544595547	1.1968764589825618	0.8442307887971927	0.821767138957111	0.9247903145393399	0.9589888197826546	1.1647037424400546	0.8215373874351853	0.7996775732152223	0.8999314275358954
cis-Aconitic acid	0.6261440739051212	0.7514302089395939	0.5806248887956422	0.6749634524035094	0.58424778465221	0.6491663105615894	0.7790590004941205	0.6019734635974766	0.6997806933282474	0.6057295670803202	0.6005194675712672	0.720678335538712	0.556863130403147	0.6473409395053042	0.5603377612134066	0.6394213686490166	0.7673641780999721	0.5929369557870314	0.689275955024554	0.5966366746275077	0.5913522517082836	0.7096768372919046	0.5483623493324044	0.6374589715594651	0.551783938247435
Hydroxykynurenine	0.9744020890719763	1.2716107969352966	0.3415632641931451	0.5744817818045784	0.46781894757726417	0.516171487751482	0.6736123046699005	0.1809368229164429	0.30432110042232025	0.24781843643138163	1.269783162161976	1.6570879690022298	0.4451050408754831	0.7486306748367205	0.609633978863593	0.6915048888371124	0.9024252848393275	0.24239753761373053	0.4076930510730637	0.3319975326083429	1.1114281093482363	1.4504320133494746	0.38959585288507903	0.6552687106963959	0.5336063358795543
L-Kynurenine	0.6701649382339824	0.7050349810408414	0.4092044272137631	0.603917189815284	0.5007131343154219	0.6398158270244999	0.6731067439376445	0.39067318220167757	0.5765681762973267	0.4780378230145468	0.6978120011728881	0.7341205768142222	0.42608579463335766	0.6288312603733602	0.5213696126672063	0.6898182491682813	0.7257108936579162	0.4212047891916914	0.6216277139457836	0.5153970880052708	1.0628350939905302	1.1181365624943065	0.6489698297335177	0.9577707614654749	0.7940962900488533
N-Acetyl-L-aspartic acid	0.5661852486951824	0.735734026882437	0.533708916048981	0.5056237107289494	0.4944488296620221	0.39945318859376544	0.5190726951513058	0.3765405912428919	0.3567260078653637	0.34884194185582446	0.7247926778650129	0.941837740862125	0.6832186379900396	0.6472658271048984	0.632960488009634	0.5351909502703928	0.6954582336804436	0.5044924476685079	0.4779446918617171	0.46738154979619984	0.5595206998702925	0.7270737247011441	0.5274266451182482	0.49967202987018283	0.4886286879782067
Nicotinic acid		2.199455800598513	1.0848751462499127	1.6855410259769288	0.86348901602509		1.4922994045386762	0.7360723203926194	1.1436155564964803	0.585864987188777		2.5210172183895745	1.243484375887297	1.931967874795919	0.989731494807559		1.8916334064763674	0.9330426498881366	1.449643003445115	0.7426403696741655		1.9104863561965295	0.9423418122442692	1.4640908592307902	0.750041889176673
S-Adenosylmethionine	0.4746003157023534	0.5527491576250787	0.25823665811745516	0.44058008077815125	0.41896654501493924	0.3501444403003841	0.40780007517846295	0.19051847866507776	0.32504543441625616	0.3090996814693314	0.874680331548475	1.0187073216315745	0.4759257806347596	0.8119816156430263	0.7721482358457036	0.4367250324572677	0.5086372381512152	0.23762818769115857	0.4054197684068451	0.3855310919871167	0.5273832280048767	0.6142234326032601	0.28695657765341	0.4895794155795556	0.4655621195890694
